Rank,Country,elections,seats_lower_house,lower_women,lower_percentage_women,Elections_u_h,seats_upper_house,upper_women,upper_percentage_woen
1,Rwanda,9 2008,80,45,56.30%,9 2011,26,10,38.50%
2,Andorra,4 2011,28,14,50.00%,---,---,---,---
3,Cuba,1 2008,586,265,45.20%,---,---,---,---
4,Sweden,9 2010,349,156,44.70%,---,---,---,---
5,Seychelles,9 2011,32,14,43.80%,---,---,---,---
6,Finland,4 2011,200,85,42.50%,---,---,---,---
7,South Africa 1,4 2009,400,169,42.30%,4 2009,53,17,32.10%
8,Netherlands,6 2010,150,61,40.70%,5 2011,75,27,36.00%
9,Nicaragua,11 2011,92,37,40.20%,---,---,---,---
10,Iceland,4 2009,63,25,39.70%,---,---,---,---
11,Norway,9 2009,169,67,39.60%,---,---,---,---
12,Mozambique,10 2009,250,98,39.20%,---,---,---,---
13,Denmark,9 2011,179,70,39.10%,---,---,---,---
14,Costa Rica,2 2010,57,22,38.60%,---,---,---,---
15,Angola,9 2008,220,84,38.20%,---,---,---,---
16,Belgium,6 2010,150,57,38.00%,6 2010,71,29,40.80%
17,Argentina,10 2011,257,96,37.40%,10 2011,72,28,38.90%
18,Spain,11 2011,350,126,36.00%,11 2011,263,88,33.50%
"""",United Republic of Tanzania,10 2010,350,126,36.00%,---,---,---,---
19,Uganda,2 2011,386,135,35.00%,---,---,---,---
20,Nepal,4 2008,594,197,33.20%,---,---,---,---
21,Germany,9 2009,620,204,32.90%,N.A.,69,19,27.50%
22,Ecuador,4 2009,124,40,32.30%,---,---,---,---
"""",Timor-Leste,6 2007,65,21,32.30%,---,---,---,---
23,New Zealand,11 2011,121,39,32.20%,---,---,---,---
"""",Slovenia,12 2011,90,29,32.20%,11 2007,40,1,2.50%
24,Belarus,9 2008,110,35,31.80%,7 2008,58,19,32.80%
25,Guyana,11 2011,67,21,31.30%,---,---,---,---
26,The F.Y.R. of Macedonia,6 2011,123,38,30.90%,---,---,---,---
27,Burundi,7 2010,105,32,30.50%,7 2010,41,19,46.30%
28,Portugal,6 2011,230,66,28.70%,---,---,---,---
29,Trinidad and Tobago,5 2010,42,12,28.60%,6 2010,31,8,25.80%
30,Switzerland,10 2011,200,57,28.50%,10 2011,46,9,19.60%
31,Austria,9 2008,183,51,27.90%,N.A.,61,19,31.10%
32,Ethiopia,5 2010,547,152,27.80%,5 2010,135,22,16.30%
33,Afghanistan,9 2010,249,69,27.70%,1 2011,102,28,27.50%
34,Tunisia,10 2011,217,58,26.70%,---,---,---,---
35,South Sudan,8 2011,332,88,26.50%,8 2011,50,5,10.00%
36,Mexico,7 2009,500,131,26.20%,7 2006,128,29,22.70%
37,Bolivia,12 2009,130,33,25.40%,12 2009,36,17,47.20%
38,Iraq,3 2010,325,82,25.20%,---,---,---,---
39,Lao People's Democratic Republic,4 2011,132,33,25.00%,---,---,---,---
"""",Luxembourg,6 2009,60,15,25.00%,---,---,---,---
40,Canada,5 2011,307,76,24.80%,N.A.,98,36,36.70%
41,Australia,8 2010,150,37,24.70%,8 2010,76,29,38.20%
42,Sudan,4 2010,354,87,24.60%,5 2010,28,5,17.90%
43,Namibia,11 2009,78,19,24.40%,11 2010,26,7,26.90%
"""",Viet Nam,5 2011,500,122,24.40%,---,---,---,---
44,Lesotho,2 2007,120,29,24.20%,3 2007,33,7,21.20%
45,Liechtenstein,2 2009,25,6,24.00%,---,---,---,---
46,Croatia,12 2011,151,36,23.80%,---,---,---,---
47,Poland,10 2011,460,109,23.70%,10 2011,100,13,13.00%
48,Kyrgyzstan,10 2010,120,28,23.30%,---,---,---,---
49,Latvia,9 2011,100,23,23.00%,---,---,---,---
50,Philippines,5 2010,284,65,22.90%,5 2010,23,3,13.00%
51,Senegal,6 2007,150,34,22.70%,8 2007,100,40,40.00%
52,Pakistan,2 2008,342,77,22.50%,3 2009,100,17,17.00%
53,Malawi,5 2009,193,43,22.30%,---,---,---,---
"""",United Kingdom,5 2010,650,145,22.30%,N.A.,827,181,21.90%
54,Singapore,5 2011,90,20,22.20%,---,---,---,---
55,Mauritania,11 2006,95,21,22.10%,11 2009,56,8,14.30%
56,Czech Republic,5 2010,200,44,22.00%,10 2010,81,15,18.50%
"""",Eritrea,2 1994,150,33,22.00%,---,---,---,---
"""",Serbia,5 2008,250,55,22.00%,---,---,---,---
"""",Uzbekistan,12 2009,150,33,22.00%,1 2010,100,15,15.00%
57,Italy,4 2008,630,136,21.60%,4 2008,322,60,18.60%
58,Peru,4 2011,130,28,21.50%,---,---,---,---
59,Bosnia and Herzegovina,10 2010,42,9,21.40%,6 2011,15,2,13.30%
60,China,3 2008,2978,635,21.30%,---,---,---,---
61,Bulgaria,7 2009,240,50,20.80%,---,---,---,---
"""",Cape Verde,2 2011,72,15,20.80%,---,---,---,---
"""",Dominican Republic,5 2010,183,38,20.80%,5 2010,32,3,9.40%
62,Cambodia,7 2008,123,25,20.30%,1 2006,61,9,14.80%
63,Israel,2 2009,120,24,20.00%,---,---,---,---
64,Estonia,3 2011,101,20,19.80%,---,---,---,---
"""",Republic of Moldova,11 2010,101,20,19.80%,---,---,---,---
65,Bangladesh,12 2008,350,69,19.70%,---,---,---,---
66,Honduras,11 2009,128,25,19.50%,---,---,---,---
67,Lithuania,10 2008,141,27,19.10%,---,---,---,---
68,El Salvador,1 2009,84,16,19.00%,---,---,---,---
"""",Monaco,2 2008,21,4,19.00%,---,---,---,---
"""",Tajikistan,2 2010,63,12,19.00%,3 2010,34,5,14.70%
69,France,6 2007,577,109,18.90%,9 2011,347,77,22.20%
70,Mauritius,5 2010,69,13,18.80%,---,---,---,---
71,Greece,10 2009,300,56,18.70%,---,---,---,---
72,San Marino,11 2008,60,11,18.30%,---,---,---,---
73,Indonesia,4 2009,560,102,18.20%,---,---,---,---
"""",Sao Tome and Principe,8 2010,55,10,18.20%,---,---,---,---
74,Kazakhstan,8 2007,107,19,17.80%,8 2011,47,2,4.30%
75,United Arab Emirates,9 2011,40,7,17.50%,---,---,---,---
76,Saint Vincent and the Grenadines,12 2010,23,4,17.40%,---,---,---,---
77,Morocco,11 2011,395,67,17.00%,10 2009,270,6,2.20%
"""",Venezuela,9 2010,165,28,17.00%,---,---,---,---
78,Turkmenistan,12 2008,125,21,16.80%,---,---,---,---
"""",United States of America 2,11 2010,434,73,16.80%,11 2010,100,17,17.00%
79,Saint Lucia,11 2011,18,3,16.70%,1 2007,11,4,36.40%
80,Azerbaijan,11 2010,125,20,16.00%,---,---,---,---
"""",Slovakia,6 2010,150,24,16.00%,---,---,---,---
81,Thailand,7 2011,500,79,15.80%,4 2011,149,23,15.40%
82,Albania,6 2009,140,22,15.70%,---,---,---,---
83,Democratic People's Republic of Korea,3 2009,687,107,15.60%,---,---,---,---
84,Burkina Faso,5 2007,111,17,15.30%,---,---,---,---
85,Ireland,2 2011,166,25,15.10%,4 2011,60,18,30.00%
86,Zimbabwe,3 2008,214,32,15.00%,3 2008,99,24,24.20%
87,Republic of Korea,4 2008,299,44,14.70%,---,---,---,---
88,Chile,12 2009,120,17,14.20%,12 2009,38,5,13.20%
"""",Gabon,12 2011,120,17,14.20%,1 2009,102,18,17.60%
"""",Turkey,6 2011,550,78,14.20%,---,---,---,---
89,Cameroon,7 2007,180,25,13.90%,---,---,---,---
90,Djibouti,2 2008,65,9,13.80%,---,---,---,---
91,Russian Federation,12 2011,450,61,13.60%,N.A.,169,8,4.70%
"""",Swaziland,9 2008,66,9,13.60%,10 2008,30,12,40.00%
92,Grenada,7 2008,15,2,13.30%,8 2008,13,3,23.10%
"""",Guatemala,9 2011,158,21,13.30%,---,---,---,---
"""",Niger,1 2011,113,15,13.30%,---,---,---,---
93,Sierra Leone,8 2007,124,16,12.90%,---,---,---,---
94,Chad,2 2011,188,24,12.80%,---,---,---,---
95,Jamaica,12 2011,63,8,12.70%,9 2007,21,5,23.80%
96,Central African Republic,1 2011,104,13,12.50%,---,---,---,---
"""",Dominica,12 2009,32,4,12.50%,---,---,---,---
"""",Madagascar,10 2010,256,32,12.50%,10 2010,90,10,11.10%
"""",Paraguay,4 2008,80,10,12.50%,4 2008,45,7,15.60%
97,Syrian Arab Republic,4 2007,250,31,12.40%,---,---,---,---
98,Montenegro,3 2009,81,10,12.30%,---,---,---,---
99,Bahamas,5 2007,41,5,12.20%,5 2007,15,5,33.30%
100,Colombia,3 2010,165,20,12.10%,3 2010,100,16,16.00%
"""",Uruguay,10 2009,99,12,12.10%,10 2009,31,4,12.90%
101,Suriname,5 2010,51,6,11.80%,---,---,---,---
102,Zambia,9 2011,157,18,11.50%,---,---,---,---
103,Romania,11 2008,330,37,11.20%,11 2008,136,8,5.90%
104,Togo,10 2007,81,9,11.10%,---,---,---,---
105,Cote d'Ivoire,12 2011,254,28,11.00%,---,---,---,---
"""",India,4 2009,545,60,11.00%,3 2010,243,26,10.70%
106,Japan,8 2009,480,52,10.80%,7 2010,242,45,18.60%
"""",Jordan,11 2010,120,13,10.80%,10 2011,60,7,11.70%
107,Cyprus,5 2011,56,6,10.70%,---,---,---,---
108,Antigua and Barbuda,3 2009,19,2,10.50%,4 2009,17,5,29.40%
109,Malaysia,3 2008,221,23,10.40%,N.A.,65,14,21.50%
110,Mali,7 2007,147,15,10.20%,---,---,---,---
111,Bahrain,10 2010,40,4,10.00%,11 2010,40,11,27.50%
"""",Barbados,1 2008,30,3,10.00%,2 2008,21,7,33.30%
"""",Equatorial Guinea,5 2008,100,10,10.00%,---,---,---,---
"""",Guinea-Bissau,11 2008,100,10,10.00%,---,---,---,---
112,Kenya,12 2007,224,22,9.80%,---,---,---,---
113,Liberia,10 2011,73,7,9.60%,10 2011,30,4,13.30%
114,Hungary,4 2010,386,34,8.80%,---,---,---,---
115,Kiribati,10 2011,46,4,8.70%,---,---,---,---
"""",Malta,3 2008,69,6,8.70%,---,---,---,---
116,Brazil,10 2010,513,44,8.60%,10 2010,81,13,16.00%
117,Bhutan,3 2008,47,4,8.50%,12 2007,25,6,24.00%
"""",Panama,5 2009,71,6,8.50%,---,---,---,---
118,Armenia,5 2007,131,11,8.40%,---,---,---,---
"""",Benin,4 2011,83,7,8.40%,---,---,---,---
119,Ghana,12 2008,230,19,8.30%,---,---,---,---
120,Algeria,5 2007,389,31,8.00%,12 2009,136,7,5.10%
"""",Ukraine,9 2007,450,36,8.00%,---,---,---,---
121,Botswana,10 2009,63,5,7.90%,---,---,---,---
122,Kuwait,5 2009,65,5,7.70%,---,---,---,---
123,Gambia,1 2007,53,4,7.50%,---,---,---,---
124,Congo,6 2007,137,10,7.30%,10 2011,72,10,13.90%
125,Nigeria,4 2011,352,24,6.80%,4 2011,109,7,6.40%
"""",Somalia,8 2004,546,37,6.80%,---,---,---,---
126,Saint Kitts and Nevis,1 2010,15,1,6.70%,---,---,---,---
"""",Tuvalu,9 2010,15,1,6.70%,---,---,---,---
127,Georgia,5 2008,137,9,6.60%,---,---,---,---
128,Maldives,5 2009,77,5,6.50%,---,---,---,---
129,Sri Lanka,4 2010,225,13,5.80%,---,---,---,---
130,Haiti,11 2010,95,4,4.20%,11 2010,30,1,3.30%
131,Samoa,3 2011,49,2,4.10%,---,---,---,---
132,Mongolia,6 2008,76,3,3.90%,---,---,---,---
133,Tonga,11 2010,28,1,3.60%,---,---,---,---
134,Myanmar,11 2010,395,14,3.50%,11 2010,218,4,1.80%
135,Lebanon,6 2009,128,4,3.10%,---,---,---,---
136,Comoros,12 2009,33,1,3.00%,---,---,---,---
"""",Marshall Islands,11 2011,33,1,3.00%,---,---,---,---
137,Iran (Islamic Republic of),3 2008,290,8,2.80%,---,---,---,---
138,Egypt 3,11 2011,508,10,2.00%,6 2010,270,?,?
139,Vanuatu,9 2008,52,1,1.90%,---,---,---,---
140,Oman,10 2011,84,1,1.20%,10 2011,83,15,18.10%
141,Papua New Guinea,6 2007,109,1,0.90%,---,---,---,---
142,Yemen,4 2003,301,1,0.30%,4 2001,111,2,1.80%
143,Belize,2 2008,32,0,0.00%,3 2008,13,5,38.50%
"""",Micronesia (Federated States of),3 2011,14,0,0.00%,---,---,---,---
"""",Nauru,6 2010,18,0,0.00%,---,---,---,---
"""",Palau,11 2008,16,0,0.00%,11 2008,13,2,15.40%
"""",Qatar,7 2010,35,0,0.00%,---,---,---,---
"""",Saudi Arabia,2 2009,150,0,0.00%,---,---,---,---
"""",Solomon Islands,8 2010,50,0,0.00%,---,---,---,---
?,Democratic Republic of the Congo,11 2011,500,?,?,1 2007,108,5,4.60%
